X,Y,Z,,
100.0000,73.0500,1003.7000,,
100.9809,73.0539,1003.7032,,
101.9618,73.0658,1003.7065,,
102.9427,73.0855,1003.7097,,
103.9236,73.1131,1003.7129,,
104.9045,73.1484,1003.7162,,
105.8854,73.1916,1003.7194,,
106.8662,73.2426,1003.7227,,
107.8471,73.3012,1003.7259,,
108.8280,73.3675,1003.7291,,
109.8089,73.4413,1003.7324,,
110.7898,73.5226,1003.7356,,
111.7707,73.6113,1003.7388,,
112.7516,73.7074,1003.7421,,
113.7325,73.8106,1003.7453,,
114.7134,73.9210,1003.7486,,
115.6943,74.0384,1003.7518,,
116.6752,74.1626,1003.7550,,
117.6561,74.2936,1003.7583,,
118.6369,74.4313,1003.7615,,
119.6178,74.5754,1003.7647,,
120.5987,74.7258,1003.7680,,
121.5796,74.8824,1003.7712,,
122.5605,75.0450,1003.7744,,
123.5414,75.2135,1003.7777,,
124.5223,75.3876,1003.7809,,
125.5032,75.5672,1003.7842,,
126.4841,75.7522,1003.7874,,
127.4650,75.9422,1003.7906,,
128.4459,76.1372,1003.7939,,
129.4268,76.3370,1003.7971,,
130.4076,76.5412,1003.8003,,
131.3885,76.7498,1003.8036,,
132.3694,76.9624,1003.8068,,
133.3503,77.1790,1003.8101,,
134.3312,77.3992,1003.8133,,
135.3121,77.6228,1003.8165,,
136.2930,77.8497,1003.8198,,
137.2739,78.0795,1003.8230,,
138.2548,78.3120,1003.8262,,
139.2357,78.5471,1003.8295,,
140.2166,78.7844,1003.8327,,
141.1975,79.0237,1003.8360,,
142.1783,79.2648,1003.8392,,
143.1592,79.5074,1003.8424,,
144.1401,79.7513,1003.8457,,
145.1210,79.9962,1003.8489,,
146.1019,80.2419,1003.8521,,
147.0828,80.4881,1003.8554,,
148.0637,80.7346,1003.8586,,
149.0446,80.9811,1003.8618,,
150.0255,81.2273,1003.8651,,
151.0064,81.4731,1003.8683,,
151.9873,81.7181,1003.8716,,
152.9682,81.9622,1003.8748,,
153.9490,82.2049,1003.8780,,
154.9299,82.4462,1003.8813,,
155.9108,82.6858,1003.8845,,
156.8917,82.9234,1003.8877,,
157.8726,83.1587,1003.8910,,
158.8535,83.3916,1003.8942,,
159.8344,83.6218,1003.8975,,
160.8153,83.8490,1003.9007,,
161.7962,84.0730,1003.9039,,
162.7771,84.2937,1003.9072,,
163.7580,84.5107,1003.9104,,
164.7389,84.7239,1003.9136,,
165.7197,84.9329,1003.9169,,
166.7006,85.1377,1003.9201,,
167.6815,85.3380,1003.9233,,
168.6624,85.5336,1003.9266,,
169.6433,85.7243,1003.9298,,
170.6242,85.9099,1003.9331,,
171.6051,86.0902,1003.9363,,
172.5860,86.2651,1003.9395,,
173.5669,86.4343,1003.9428,,
174.5478,86.5976,1003.9460,,
175.5287,86.7550,1003.9492,,
176.5096,86.9062,1003.9525,,
177.4904,87.0511,1003.9557,,
178.4713,87.1895,1003.9590,,
179.4522,87.3214,1003.9622,,
180.4331,87.4465,1003.9654,,
181.4140,87.5647,1003.9687,,
182.3949,87.6760,1003.9719,,
183.3758,87.7801,1003.9751,,
184.3567,87.8771,1003.9784,,
185.3376,87.9667,1003.9816,,
186.3185,88.0490,1003.9849,,
187.2994,88.1237,1003.9881,,
188.2803,88.1909,1003.9913,,
189.2611,88.2505,1003.9946,,
190.2420,88.3024,1003.9978,,
191.2229,88.3466,1004.0010,,
192.2038,88.3829,1004.0043,,
193.1847,88.4115,1004.0075,,
194.1656,88.4322,1004.0107,,
195.1465,88.4450,1004.0140,,
196.1274,88.4499,1004.0172,,
197.1083,88.4470,1004.0205,,
198.0892,88.4361,1004.0237,,
199.0701,88.4174,1004.0269,,
200.0510,88.3908,1004.0302,,
201.0318,88.3564,1004.0334,,
202.0127,88.3142,1004.0366,,
202.9936,88.2642,1004.0399,,
203.9745,88.2066,1004.0431,,
204.9554,88.1412,1004.0464,,
205.9363,88.0684,1004.0496,,
206.9172,87.9880,1004.0528,,
207.8981,87.9002,1004.0561,,
208.8790,87.8050,1004.0593,,
209.8599,87.7027,1004.0625,,
210.8408,87.5932,1004.0658,,
211.8217,87.4767,1004.0690,,
212.8025,87.3533,1004.0722,,
213.7834,87.2231,1004.0755,,
214.7643,87.0863,1004.0787,,
215.7452,86.9430,1004.0820,,
216.7261,86.7934,1004.0852,,
217.7070,86.6375,1004.0884,,
218.6879,86.4757,1004.0917,,
219.6688,86.3079,1004.0949,,
220.6497,86.1345,1004.0981,,
221.6306,85.9555,1004.1014,,
222.6115,85.7712,1004.1046,,
223.5924,85.5818,1004.1079,,
224.5732,85.3874,1004.1111,,
225.5541,85.1882,1004.1143,,
226.5350,84.9846,1004.1176,,
227.5159,84.7765,1004.1208,,
228.4968,84.5644,1004.1240,,
229.4777,84.3483,1004.1273,,
230.4586,84.1285,1004.1305,,
231.4395,83.9053,1004.1337,,
232.4204,83.6789,1004.1370,,
233.4013,83.4494,1004.1402,,
234.3822,83.2172,1004.1435,,
235.3631,82.9824,1004.1467,,
236.3439,82.7454,1004.1499,,
237.3248,82.5063,1004.1532,,
238.3057,82.2654,1004.1564,,
239.2866,82.0230,1004.1596,,
240.2675,81.7792,1004.1629,,
241.2484,81.5344,1004.1661,,
242.2293,81.2888,1004.1694,,
243.2102,81.0427,1004.1726,,
244.1911,80.7962,1004.1758,,
245.1720,80.5497,1004.1791,,
246.1529,80.3034,1004.1823,,
247.1338,80.0576,1004.1855,,
248.1146,79.8125,1004.1888,,
249.0955,79.5683,1004.1920,,
250.0764,79.3253,1004.1953,,
251.0573,79.0838,1004.1985,,
252.0382,78.8440,1004.2017,,
253.0191,78.6062,1004.2050,,
254.0000,78.3706,1004.2082,,
254.9809,78.1374,1004.2114,,
255.9618,77.9068,1004.2147,,
256.9427,77.6792,1004.2179,,
257.9236,77.4548,1004.2211,,
258.9045,77.2337,1004.2244,,
259.8854,77.0162,1004.2276,,
260.8662,76.8026,1004.2309,,
261.8471,76.5930,1004.2341,,
262.8280,76.3876,1004.2373,,
263.8089,76.1867,1004.2406,,
264.7898,75.9905,1004.2438,,
265.7707,75.7992,1004.2470,,
